metric,n_ssr,n_csr,median_ssr,iqr_ssr,median_csr,iqr_csr,u_stat,p_value,effect_r,effect_magnitude,direction,scenario
Total energy,10,10,6732.74,926.43,6537.58,693.09,51.0,0.96985,-0.02,negligible,CSR lower,dynamic
Average power,10,10,938.0,193.15,790.45,104.77,81.0,0.02113,-0.62,large,CSR lower,dynamic
LCP — cold load,10,10,3290.0,18.0,3272.0,15.0,87.0,0.00556,-0.74,large,CSR lower,dynamic
FCP — cold load,10,10,3290.0,18.0,3272.0,15.0,87.0,0.00556,-0.74,large,CSR lower,dynamic
TTFB — cold load,10,10,26.05,11.05,17.85,5.57,81.0,0.02113,-0.62,large,CSR lower,dynamic
Total Blocking Time (all pages),10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,dynamic
CLS — cold load,10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,dynamic
Transfer size (all pages),10,10,7.12,0.0,3.9,0.0,100.0,2e-05,-1.0,large,CSR lower,dynamic
JS heap peak,10,10,9.5,0.0,9.5,0.0,50.0,1.0,0.0,negligible,CSR lower,dynamic
Total energy,10,10,5910.66,2290.94,7017.01,904.19,31.0,0.16197,0.38,medium,SSR lower,massive
Average power,10,10,821.05,294.78,821.05,165.67,51.0,0.96985,-0.02,negligible,CSR lower,massive
LCP — cold load,10,10,3288.0,7.0,3270.0,25.0,74.5,0.06755,-0.49,medium,CSR lower,massive
FCP — cold load,10,10,3288.0,7.0,3270.0,25.0,74.5,0.06755,-0.49,medium,CSR lower,massive
TTFB — cold load,10,10,28.25,12.52,19.85,3.52,76.5,0.04928,-0.53,large,CSR lower,massive
Total Blocking Time (all pages),10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,massive
CLS — cold load,10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,massive
Transfer size (all pages),10,10,7.12,0.0,3.91,0.0,100.0,2e-05,-1.0,large,CSR lower,massive
JS heap peak,10,10,9.5,0.0,9.5,0.0,50.0,1.0,0.0,negligible,CSR lower,massive
Total energy,10,10,6864.65,2693.67,7996.91,6021.83,29.0,0.12122,0.42,medium,SSR lower,static
Average power,10,10,837.6,355.58,834.55,777.65,53.0,0.85011,-0.06,negligible,CSR lower,static
LCP — cold load,10,10,3278.0,19.0,3282.0,12.0,51.0,0.96954,-0.02,negligible,SSR lower,static
FCP — cold load,10,10,3278.0,19.0,3282.0,12.0,51.0,0.96954,-0.02,negligible,SSR lower,static
TTFB — cold load,10,10,23.4,2.82,17.85,7.97,76.0,0.0539,-0.52,large,CSR lower,static
Total Blocking Time (all pages),10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,static
CLS — cold load,10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,static
Transfer size (all pages),10,10,7.12,0.0,3.9,0.0,100.0,2e-05,-1.0,large,CSR lower,static
JS heap peak,10,10,9.5,0.0,9.5,0.0,50.0,1.0,0.0,negligible,CSR lower,static
